Функция sin (2 * x ^ 2) + 2 * cos (10 * x)

Зависимоть сходимости (поколения) от размера популяции
(2,6.520234022268539,12.283999999999999)
(4,5.440502147082524,20.007999999999992)
(8,6.432534353520749,17.392000000000007)
(16,5.540087173691136,10.592999999999996)
(32,4.705761625982704,14.764)
(64,7.474263391087778,14.932799999999999)
(128,7.731986044295442,11.916000000000007)

(2,20.945,14.915650000000003)
(4,22.900000000000013,16.770000000000003)
(8,24.07000000000001,17.719600000000007)
(16,19.165,13.381200000000002)
(32,19.525000000000016,15.398250000000004)
(64,20.07999999999999,14.633199999999999)
(128,22.25999999999999,15.947599999999996)

